,Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
138,138,0.12,178,100000.0,,27750.8,27.7508,,0.17739623992242742,0.2003770784434432,0.019369321135096484
139,139,0.12,179,100000.0,,27129.6,27.1296,,0.1784038118493072,0.20208255404175168,0.018960914360686587
140,140,0.12,180,100000.0,,26450.8,26.4508,,0.17928912750652443,0.20200073390134776,0.01919373300538716
141,141,0.12,181,100000.0,,25873.4,25.8734,,0.18077059184788027,0.20329067570030665,0.01932504384394029
142,142,0.12,182,100000.0,,25290.0,25.29,,0.18122774669914749,0.20327522794024183,0.019890485272184934
143,143,0.12,183,100000.0,,24529.8,24.5298,,0.1820771375233733,0.19955976120215685,0.019603416270861374
144,144,0.12,184,100000.0,,23372.2,23.3722,,0.18310570207801788,0.20556062030389968,0.019321733125226004
145,145,0.12,185,100000.0,,22413.6,22.4136,,0.18439961384263484,0.19176953108282824,0.019044748733639948
146,146,0.12,186,100000.0,,21382.8,21.3828,,0.18534830253420292,0.20194536573303293,0.019175492399187987
147,147,0.12,187,100000.0,,20205.6,20.205600000000004,,0.18631974860766148,0.20274256125291937,0.019174937272722656
148,148,0.12,188,100000.0,,19207.6,19.2076,,0.186652285072546,0.2149025475066532,0.019396866033373077
149,149,0.12,189,100000.0,,17889.6,17.8896,,0.18857443189374973,0.1983892022892813,0.019717729194402976
150,150,0.12,190,100000.0,,16588.2,16.588199999999997,,0.18837261854926624,0.19942943664152585,0.019044806934677538
151,151,0.12,191,100000.0,,15286.0,15.285999999999996,,0.1896464966028418,0.19928074375889285,0.019265547658032744
152,152,0.12,192,100000.0,,14141.4,14.1414,,0.19071347180055795,0.20220270353475012,0.01959115830652109
153,153,0.12,193,100000.0,,12904.0,12.904,,0.1922182131550471,0.20180619643159495,0.01903612587551464
154,154,0.12,194,100000.0,,11808.4,11.8084,,0.19254403843524412,0.20114491222893047,0.019561563648538893
155,155,0.12,195,100000.0,,10765.6,10.7656,,0.19267343124069497,0.19321709007285687,0.01953789463812754
156,156,0.12,196,100000.0,,9798.6,9.7986,,0.1935451369489272,0.19902856014690315,0.018887202584565443
157,157,0.12,197,100000.0,,8923.0,8.923,,0.19590369711836503,0.20912562693736284,0.01911752885679405
158,158,0.12,198,100000.0,,8057.8,8.0578,,0.1962482065289123,0.2074987680369596,0.018627877766373042
159,159,0.12,199,100000.0,,7354.399999999999,7.3544,,0.19704101274157323,0.21026732249747376,0.018606871558863248
